"position_id","Word_Unique_ID","Text_ID","Word_Number","Word_Length","Word_POS","Word_In_Sentence_Number","OrthoMatchModel","POSMatchModel","LSA_Response_Match_Score","mean_log_ffd","n_fixations"
"38-4","QID1810",38,4,5,"Noun",4,0.005365386,0.918156674,0.061,5.14959831393678,70
"38-5","QID1811",38,5,3,"Verb",5,0.04933252,0.963884528,0.585897436,5.30647562829872,50
"38-7","QID1813",38,7,4,"Verb",7,0.005563859,0.985524671,0.397435897,5.25902655583076,63
"38-9","QID1815",38,9,3,"Verb",9,0.098164047,0.742015867,0.844358974,5.30481270554795,49
"38-10","QID1816",38,10,9,"Adjective",10,0.005443025,0.138232098,0.112307692,5.31246640090548,75
"38-11","QID1817",38,11,8,"Adjective",11,0.005443025,0.040902555,0.131025641,5.55903860351548,79
"38-12","QID1818",38,12,10,"Adjective",12,0.005443025,0.018477802,0.160263158,5.4870318143631,80
"38-13","QID1819",38,13,8,"Noun",13,0.273501651,0.963884528,0.451538462,5.33307647273142,70
"38-14","QID1820",38,14,10,"Verb",14,0.005443025,0.138232098,0.286666667,5.44274591485313,75
"38-16","QID1822",38,16,6,"Noun",16,0.025894621,0.088918447,0.418205128,5.25276192767173,71
"38-17","QID1823",38,17,3,"Verb",17,0.778735793,0.916147543,0.92,5.00628505827253,52
"38-18","QID1824",38,18,9,"Verb",18,0.248301257,0.742015867,0.505128205,5.2144634068132,66
"38-20","QID1826",38,20,2,"Verb",2,0.298725596,0.817162812,0.678974359,5.29374518126444,49
"38-21","QID1827",38,21,4,"Adverb",3,0.005443025,0.138232098,0.546153846,5.39859325326694,65
"38-23","QID1829",38,23,3,"Noun",5,0.100707466,0.963279155,0.165641026,5.18650920677297,51
"38-25","QID1831",38,25,7,"Noun",7,0.005443025,0.018477802,0.075128205,5.4259925838933,79
"38-27","QID1833",38,27,7,"Adverb",9,0.005443025,0.040902555,0.16974359,5.46933257096403,78
"38-28","QID1834",38,28,9,"Verb",10,0.122963889,0.866931766,0.301025641,5.36924299469203,75
"38-30","QID1836",38,30,7,"Noun",12,0.122963889,0.891638262,0.368461538,5.35734275605376,65
"38-31","QID1837",38,31,2,"Adverb",13,0.04933252,0.088918447,0.875897436,5.22902124859295,28
"38-32","QID1838",38,32,4,"Adverb",14,0.005443025,0.113485659,0.477435897,5.30945011846504,70
"38-35","QID1841",38,35,3,"Verb",17,0.462061634,0.938865032,0.717297297,5.11896509188434,57
"38-37","QID1843",38,37,7,"Verb",19,0.005546077,0.425076369,0.291052632,5.30651752088232,76
"38-38","QID1844",38,38,3,"Adverb",20,0.026517027,0.091157644,0.613421053,5.38447834437588,55
"38-40","QID1846",38,40,5,"Verb",22,0.254740199,0.888901421,0.393421053,5.52510762528104,53
"39-4","QID1849",39,4,10,"Noun",4,0.00555734,0.113416731,0.05375,5.21117288784332,76
"39-7","QID1852",39,7,10,"Adjective",7,0.00555734,0.891756915,0.27825,5.2974063210986,77
"39-8","QID1853",39,8,8,"Adjective",8,0.00555734,0.040827399,0.1245,5.45345244982683,72
"39-9","QID1854",39,9,5,"Noun",9,0.050732595,0.93899811,0.236666667,5.25936884097345,60
"39-10","QID1855",39,10,4,"Noun",10,0.026674285,0.192806542,0.244615385,5.25739434763241,52
"39-13","QID1858",39,13,3,"Adjective",13,0.48821915,0.863645948,0.617692308,5.27854370249317,47
"39-16","QID1861",39,16,5,"Verb",16,0.075605903,0.83814779,0.421282051,5.22290203473601,63
"39-17","QID1862",39,17,7,"Adjective",17,0.005656634,0.167196741,0.106666667,5.35728076361434,77
"39-18","QID1863",39,18,9,"Noun",18,0.075605903,0.963173299,0.373333333,5.16465945564461,80
"39-22","QID1867",39,22,10,"Noun",22,0.129628845,0.648919845,0.281578947,5.23147037893796,79
"39-23","QID1868",39,23,4,"Verb",23,0.050732595,0.914171483,0.561794872,5.32323725403116,49
"39-24","QID1869",39,24,8,"Noun",24,0.126299233,0.321593215,0.31,5.26140842986976,73
"39-25","QID1870",39,25,3,"Verb",25,0.005656634,0.425040824,0.485897436,5.24829134962194,38
"39-26","QID1871",39,26,5,"Verb",26,0.129634241,0.224269572,0.350769231,5.34887658327225,70
"39-27","QID1872",39,27,6,"Adverb",27,0.005656634,0.295771404,0.516410256,5.27945736655261,60
"39-28","QID1873",39,28,8,"Verb",28,0.026674285,0.116279041,0.356153846,5.37801171460901,77
"39-30","QID1875",39,30,3,"Adjective",30,0.005656634,0.373292223,0.165,5.04253717800781,49
"39-31","QID1876",39,31,12,"Noun",31,0.050732595,0.83814779,0.195384615,5.12790736986634,81
"39-32","QID1877",39,32,4,"Noun",32,0.050732595,0.735417039,0.395,5.38884615674013,62
"39-33","QID1878",39,33,4,"Noun",33,0.669818495,0.914171483,0.754871795,5.23190603846345,36
"39-36","QID1881",39,36,3,"Adjective",3,0.126299233,0.321593215,0.344358974,5.35923142700694,48
"39-37","QID1882",39,37,12,"Noun",4,0.2290934,0.914171483,0.323333333,5.22997177278771,78
"39-38","QID1883",39,38,7,"Noun",5,0.050732595,0.963173299,0.111794872,5.36389020817793,77
"39-39","QID1884",39,39,7,"Verb",6,0.075605903,0.889009825,0.515128205,5.28951119693154,66
"39-40","QID1885",39,40,11,"Adverb",7,0.026674285,0.167196741,0.308974359,5.48031471696468,74
"39-41","QID1886",39,41,6,"Verb",8,0.592029099,0.985607946,0.688974359,5.44874001338901,65
"40-3","QID1888",40,3,7,"Noun",3,0.005515081,0.41440073,0.226756757,5.20108595756045,72
"40-4","QID1889",40,4,4,"Verb",4,0.148034317,0.891893583,0.738461538,5.14238007263133,59
"40-5","QID1890",40,5,4,"Verb",5,0.005515081,0.515355641,0.281538462,5.17639324867401,66
"40-6","QID1891",40,6,4,"Adverb",6,0.678180244,0.891893583,0.923333333,5.1692689027043,58
"40-8","QID1893",40,8,8,"Noun",8,0.005515081,0.616290706,0.065128205,5.34105009906634,78
"40-9","QID1894",40,9,5,"Noun",9,0.952757704,0.986028631,0.98,5.27002040075916,68
"40-10","QID1895",40,10,3,"Verb",10,0.026000344,0.040855325,0.368461538,5.28288744169841,47
"40-13","QID1898",40,13,5,"Noun",13,0.098293246,0.616290706,0.242820513,5.29512780529363,58
"40-14","QID1899",40,14,6,"Verb",14,0.005515081,0.018430404,0.497435897,5.29296434273486,61
"40-16","QID1901",40,16,4,"Verb",16,0.026629631,0.98575028,0.331578947,5.28132268718333,60
"40-17","QID1902",40,17,2,"Adverb",17,0.026629631,0.041841024,0.423421053,5.31749945614571,36
"40-20","QID1905",40,20,4,"Noun",20,0.151856649,0.658100738,0.318947368,4.97677947474167,43
"40-23","QID1908",40,23,5,"Noun",23,0.026629631,0.78703895,0.128648649,5.08648710595409,67
"40-24","QID1909",40,24,4,"Noun",24,0.876142599,0.98575028,0.913684211,5.14784591770233,44
"40-25","QID1910",40,25,6,"Verb",25,0.0056226,0.018836747,0.482105263,5.33099208062466,70
"40-27","QID1912",40,27,6,"Verb",27,0.177536781,0.98575028,0.724736842,5.26862985469848,66
"40-28","QID1913",40,28,4,"Verb",28,0.773358922,0.963334212,0.903421053,5.19082233442759,44
"40-30","QID1915",40,30,8,"Noun",30,0.050689687,0.863803616,0.162105263,5.21356667836669,77
"40-31","QID1916",40,31,7,"Noun",31,0.514206321,0.838302207,0.707894737,5.28746595362308,76
"40-34","QID1919",40,34,8,"Adjective",34,0.0056226,0.399254852,0.358157895,5.36522882017413,78
"40-35","QID1920",40,35,7,"Noun",35,0.103475452,0.985474506,0.295945946,5.30716173905706,69
"40-37","QID1922",40,37,4,"Verb",2,0.026629631,0.399254852,0.123947368,5.38849656634752,54
"40-38","QID1923",40,38,6,"Noun",3,0.026629631,0.041841024,0.235789474,5.08068452457063,76
"40-39","QID1924",40,39,4,"Adverb",4,0.0056226,0.018836747,0.588421053,5.13577566060605,60
"40-40","QID1925",40,40,6,"Verb",5,0.0056226,0.963334212,0.409736842,5.32687669095684,76
"40-41","QID1926",40,41,4,"Verb",6,0.026629631,0.98575028,0.466578947,5.2933898661259,63
"40-42","QID1927",40,42,3,"Adverb",7,0.100812979,0.167259797,0.688157895,5.28099196144834,69
"40-44","QID1929",40,44,8,"Noun",9,0.075566535,0.939161833,0.211842105,5.2211975323533,74
"40-45","QID1930",40,45,3,"Verb",10,0.462287835,0.554603132,0.730526316,5.35839623323971,59
"40-46","QID1931",40,46,4,"Verb",11,0.410380365,0.632242819,0.672894737,5.31493930197359,50
"41-2","QID1932",41,2,7,"Verb",2,0.005531444,0.706650542,0.334878049,5.27082995354543,79
"41-5","QID1935",41,5,4,"Adjective",5,0.005527799,0.281421246,0.15725,5.28091213391335,64
"41-6","QID1936",41,6,8,"Adjective",6,0.005527799,0.04003792,0.0355,5.37946207103739,80
"41-7","QID1937",41,7,5,"Noun",7,0.005527799,0.941985709,0.1095,5.39696973530575,71
"41-8","QID1938",41,8,3,"Noun",8,0.005527799,0.04003792,0.198,5.36444535884596,62
"41-9","QID1939",41,9,6,"Verb",9,0.120251879,0.773018636,0.60375,5.35372008944992,68
"41-11","QID1941",41,11,5,"Noun",11,0.026796868,0.889201455,0.135555556,5.32039530588266,68
"41-12","QID1942",41,12,7,"Noun",12,0.005527799,0.894488995,0.01875,5.53285981141847,75
"41-13","QID1943",41,13,3,"Verb",13,0.005527799,0.797455984,0.5435,5.3211249830868,37
"41-14","QID1944",41,14,2,"Verb",14,0.464212001,0.894488995,0.76725,5.29840831484044,46
"41-16","QID1946",41,16,7,"Adjective",16,0.005621581,0.238248615,0.068461538,5.3653591316555,73
"41-17","QID1947",41,17,6,"Noun",17,0.025562008,0.428896603,0.183589744,5.04454527416683,70
"41-19","QID1949",41,19,5,"Noun",19,0.2670619,0.428896603,0.493,5.33268877135408,75
"41-22","QID1952",41,22,4,"Noun",22,0.291661397,0.724031811,0.4245,5.22993678514872,64
"41-23","QID1953",41,23,3,"Verb",23,0.123248852,0.313666171,0.718717949,5.22594217186601,45
"41-25","QID1955",41,25,11,"Adjective",25,0.120251879,0.256903652,0.365128205,5.28830216685903,83
"41-28","QID1958",41,28,6,"Noun",2,0.005527799,0.986278515,0.1065,5.431477001121,76
"41-29","QID1959",41,29,2,"Verb",3,0.193427524,0.941985709,0.8005,5.30342419091221,25
"41-30","QID1960",41,30,4,"Adverb",4,0.005737052,0.295965505,0.54175,5.31344554954017,62
"41-32","QID1962",41,32,11,"Noun",6,0.100957171,0.914310683,0.568461538,5.21823286403074,79
"41-33","QID1963",41,33,4,"Adjective",7,0.612227194,0.159226668,0.85075,5.1955420657619,58
"41-35","QID1965",41,35,3,"Adverb",9,0.005527799,0.086874554,0.43225,5.25104578407782,35
"41-36","QID1966",41,36,8,"Verb",10,0.048435336,0.404289894,0.34825,5.1962531555589,75
"41-38","QID1968",41,38,10,"Adjective",12,0.005527799,0.527357538,0.12775,5.37925497540132,77
"41-39","QID1969",41,39,4,"Noun",13,0.048435336,0.986278515,0.225,5.30155464988078,64
"41-41","QID1971",41,41,3,"Verb",15,0.005527799,0.918396558,0.5975,5.27249657880069,48
"41-42","QID1972",41,42,4,"Verb",16,0.291661397,0.404289894,0.7215,5.140629923811,53
"41-43","QID1973",41,43,8,"Verb",17,0.193427524,0.918396558,0.29675,5.3439987648122,73
"41-46","QID1976",41,46,8,"Noun",20,0.703455323,0.964181505,0.749487179,5.4532009721806,73
"42-2","QID1977",42,2,5,"Adverb",2,0.005236137,0.131627326,0.545,5.2047327063296,72
"42-3","QID1978",42,3,5,"Verb",3,0.025279576,0.941752463,0.533658537,5.23063630788941,72
"42-5","QID1980",42,5,2,"Verb",5,0.930088735,0.986077348,0.979756098,5.26757543233039,37
"42-6","QID1981",42,6,4,"Adverb",6,0.025279576,0.063069044,0.718536585,5.24923373029325,68
"42-7","QID1982",42,7,6,"Adjective",7,0.005327265,0.018049537,0.092926829,5.32468860662371,79
"42-9","QID1984",42,9,6,"Noun",9,0.005327265,0.305797984,0.083902439,5.38141216974134,77
"42-13","QID1988",42,13,6,"Noun",13,0.005327265,0.625579822,0.197317073,5.39070427015573,74
"42-14","QID1989",42,14,8,"Noun",14,0.168659444,0.699285158,0.462926829,5.24220486511537,69
"42-15","QID1990",42,15,7,"Adjective",1,0.005327265,0.018049537,0.160487805,5.51825376626866,72
"42-16","QID1991",42,16,7,"Noun",2,0.005327265,0.527165312,0.220487805,5.34833091697575,76
"42-19","QID1994",42,19,9,"Adjective",5,0.005327265,0.232261284,0.165853659,5.21320187388497,80
"42-20","QID1995",42,20,9,"Noun",6,0.005327265,0.918162876,0.04804878,5.18291337021526,78
"42-21","QID1996",42,21,3,"Verb",7,0.242184897,0.723817353,0.751219512,5.28041889677846,39
"42-22","QID1997",42,22,4,"Verb",8,0.071773063,0.845932909,0.461463415,5.32929798787334,59
"42-24","QID1999",42,24,10,"Adjective",10,0.005327265,0.159082865,0.1335,5.41480894115823,82
"42-25","QID2000",42,25,5,"Noun",11,0.005327265,0.845932909,0.12902439,5.38210782384086,71
"42-26","QID2001",42,26,5,"Noun",12,0.315985849,0.625579822,0.370487805,5.28799997361781,65
"42-28","QID2003",42,28,11,"Adjective",14,0.005436536,0.414400178,0.207317073,5.48270501550875,76
"42-29","QID2004",42,29,11,"Noun",15,0.005327265,0.89425661,0.045609756,5.46105355837426,79
"42-31","QID2006",42,31,7,"Noun",17,0.291365197,0.379516098,0.383658537,5.3642876353713,69
"42-32","QID2007",42,32,11,"Adverb",18,0.005327265,0.039919846,0.136097561,5.21086193416396,79
"42-33","QID2008",42,33,6,"Verb",19,0.475690102,0.891645304,0.674878049,5.27092451676369,72
"42-35","QID2010",42,35,4,"Verb",21,0.048137777,0.964728706,0.205853659,5.41099270243721,63
"42-36","QID2011",42,36,5,"Noun",22,0.071773063,0.502551572,0.09902439,5.32640312723595,62
"42-39","QID2014",42,39,9,"Noun",25,0.576892623,0.866960148,0.692926829,5.26194867517498,72
"42-40","QID2015",42,40,4,"Verb",26,0.00542779,0.088896291,0.286829268,5.26416141370515,52
"42-41","QID2016",42,41,4,"Noun",27,0.168659444,0.305797984,0.7345,5.3294813111317,57
